Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
2019,ATL,1,2018-10-17,0,NYK,L,107,126,41,90,.456,10,36,.278,15,18,.833,7,45,19,7,3,24,30,45,99,.455,12,33,.364,24,31,.774,10,46,21,12,6,16,23
2019,ATL,2,2018-10-19,0,MEM,L,117,131,41,83,.494,14,30,.467,21,36,.583,11,40,27,9,5,19,31,44,81,.543,13,26,.500,30,43,.698,7,41,32,9,4,17,29
2019,ATL,3,2018-10-21,0,CLE,W,133,111,48,98,.490,22,47,.468,15,19,.789,9,44,32,9,7,12,21,46,99,.465,10,27,.370,9,14,.643,15,49,23,5,2,18,25
2019,ATL,4,2018-10-24,1,DAL,W,111,104,37,91,.407,15,38,.395,22,31,.710,10,54,28,6,6,15,26,38,91,.418,12,40,.300,16,26,.615,9,52,25,7,9,17,27
2019,ATL,5,2018-10-27,1,CHI,L,85,97,27,84,.321,12,40,.300,19,23,.826,11,48,20,9,8,22,13,36,83,.434,12,33,.364,13,16,.813,8,52,25,14,6,23,21
2019,ATL,6,2018-10-29,0,PHI,L,92,113,35,94,.372,8,37,.216,14,21,.667,10,47,20,10,3,15,18,41,99,.414,14,47,.298,17,18,.944,16,64,33,7,9,19,22
2019,ATL,7,2018-10-30,0,CLE,L,114,136,44,82,.537,15,35,.429,11,17,.647,6,39,25,6,8,23,29,45,90,.500,13,25,.520,33,43,.767,13,48,23,13,1,13,20
2019,ATL,8,2018-11-01,1,SAC,L,115,146,42,87,.483,8,31,.258,23,34,.676,10,43,26,6,6,22,28,53,98,.541,14,35,.400,26,32,.813,10,46,38,14,3,14,29
2019,ATL,9,2018-11-03,1,MIA,W,123,118,46,88,.523,13,32,.406,18,23,.783,8,37,33,11,7,18,21,41,85,.482,16,40,.400,20,26,.769,13,41,27,6,6,18,20
2019,ATL,10,2018-11-06,0,CHO,L,102,113,41,85,.482,6,30,.200,14,18,.778,7,37,22,13,9,22,18,45,92,.489,13,31,.419,10,18,.556,8,43,27,9,4,21,16
2019,ATL,11,2018-11-07,1,NYK,L,107,112,37,92,.402,11,38,.289,22,29,.759,15,45,26,5,9,17,30,34,77,.442,11,30,.367,33,47,.702,11,48,15,8,7,18,30
2019,ATL,12,2018-11-09,1,DET,L,109,124,36,79,.456,7,28,.250,30,40,.750,9,53,17,6,2,16,21,46,97,.474,20,47,.426,12,19,.632,10,44,30,10,6,11,31
2019,ATL,13,2018-11-11,0,LAL,L,106,107,41,95,.432,13,37,.351,11,13,.846,10,44,25,11,4,19,23,39,92,.424,14,38,.368,15,24,.625,17,48,28,12,9,23,23
2019,ATL,14,2018-11-13,0,GSW,L,103,110,40,89,.449,12,32,.375,11,15,.733,10,42,25,9,2,17,18,39,91,.429,12,27,.444,20,21,.952,13,48,28,8,6,13,20
2019,ATL,15,2018-11-15,0,DEN,L,93,138,32,92,.348,9,42,.214,20,27,.741,15,43,20,7,5,19,22,53,94,.564,13,31,.419,19,25,.760,11,56,34,12,6,15,24
2019,ATL,16,2018-11-17,0,IND,L,89,97,31,87,.356,8,29,.276,19,27,.704,5,41,20,15,6,18,24,35,87,.402,12,30,.400,15,21,.714,10,53,25,11,6,24,26
2019,ATL,17,2018-11-19,1,LAC,L,119,127,45,101,.446,12,38,.316,17,19,.895,16,51,29,6,6,16,38,40,93,.430,10,33,.303,37,47,.787,15,52,24,9,8,15,22
2019,ATL,18,2018-11-21,1,TOR,L,108,124,42,93,.452,10,36,.278,14,18,.778,9,34,24,10,7,9,21,48,90,.533,11,29,.379,17,23,.739,14,55,33,6,1,19,21
2019,ATL,19,2018-11-23,1,BOS,L,96,114,35,81,.432,6,35,.171,20,29,.690,5,40,22,9,7,21,26,42,91,.462,13,40,.325,17,21,.810,7,43,31,11,7,16,29
2019,ATL,20,2018-11-25,1,CHO,W,124,123,50,94,.532,16,39,.410,8,11,.727,9,41,34,5,9,15,23,41,92,.446,18,45,.400,23,28,.821,10,42,30,8,4,12,15
2019,ATL,21,2018-11-27,0,MIA,W,115,113,38,80,.475,12,31,.387,27,32,.844,10,46,22,13,7,24,24,40,87,.460,13,38,.342,20,30,.667,11,43,22,20,3,20,25
2019,ATL,22,2018-11-28,0,CHO,L,94,108,32,93,.344,11,44,.250,19,22,.864,16,54,20,11,8,19,25,38,83,.458,4,20,.200,28,37,.757,5,44,20,15,5,14,21
2019,ATL,23,2018-11-30,0,OKC,L,109,124,43,96,.448,11,36,.306,12,20,.600,14,42,26,15,3,21,12,46,88,.523,18,41,.439,14,15,.933,7,46,30,12,7,22,24
2019,ATL,24,2018-12-03,1,GSW,L,111,128,44,90,.489,5,26,.192,18,24,.750,9,35,23,10,4,19,21,48,82,.585,13,24,.542,19,22,.864,6,39,33,10,8,20,24
