Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
2025,UTA,26,2024-12-19,0,DET,W,126,119,39,83,.470,20,40,.500,28,31,.903,15,62,23,5,8,27,19,46,105,.438,13,47,.277,14,18,.778,13,39,26,10,8,10,25
2025,UTA,27,2024-12-21,0,BRK,W,105,94,41,86,.477,14,41,.341,9,17,.529,10,45,25,11,8,18,16,38,94,.404,7,40,.175,11,12,.917,16,50,24,9,3,19,17
2025,UTA,28,2024-12-23,0,CLE,L,113,124,38,92,.413,19,44,.432,18,26,.692,18,51,27,6,5,17,20,43,91,.473,20,46,.435,18,23,.783,10,40,33,10,3,9,23
2025,UTA,29,2024-12-26,0,POR,L,120,122,41,86,.477,21,42,.500,17,25,.680,11,46,26,9,5,13,16,45,89,.506,15,38,.395,17,22,.773,9,43,26,10,8,11,20
2025,UTA,30,2024-12-28,1,PHI,L,111,114,43,89,.483,12,36,.333,13,15,.867,14,48,27,3,3,22,25,36,83,.434,13,36,.361,29,37,.784,10,32,22,15,8,8,22
2025,UTA,31,2024-12-30,1,DEN,L,121,132,44,86,.512,13,38,.342,20,22,.909,7,37,28,6,2,16,17,53,105,.505,9,30,.300,17,19,.895,17,51,38,13,3,7,17
2025,UTA,32,2025-01-01,0,NYK,L,103,119,39,96,.406,13,43,.302,12,15,.800,14,45,23,7,6,17,19,47,85,.553,9,23,.391,16,23,.696,6,47,31,10,6,13,16
2025,UTA,33,2025-01-04,0,MIA,W,136,100,52,100,.520,19,46,.413,13,16,.813,16,57,31,11,4,14,21,35,80,.438,9,35,.257,21,30,.700,5,32,25,9,7,15,14
2025,UTA,34,2025-01-05,0,ORL,W,105,92,39,81,.481,11,32,.344,16,18,.889,11,50,21,6,5,22,19,35,98,.357,14,47,.298,8,13,.615,14,43,25,8,4,11,21
2025,UTA,35,2025-01-07,1,ATL,L,121,124,40,96,.417,19,48,.396,22,25,.880,13,47,25,8,4,16,17,47,98,.480,18,44,.409,12,15,.800,12,44,35,6,11,10,22
2025,UTA,36,2025-01-09,1,MIA,L,92,97,33,83,.398,11,36,.306,15,17,.882,11,49,20,9,7,17,15,36,91,.396,14,50,.280,11,15,.733,13,49,26,10,7,14,12
2025,UTA,37,2025-01-11,0,PHO,L,106,114,42,96,.438,9,42,.214,13,18,.722,21,50,26,6,2,13,18,44,86,.512,13,37,.351,13,19,.684,12,38,26,9,4,11,17
2025,UTA,38,2025-01-12,1,BRK,W,112,111,40,90,.444,17,44,.386,15,20,.750,6,41,25,7,6,11,30,39,92,.424,10,40,.250,23,35,.657,15,54,26,5,5,11,17
2025,UTA,39,2025-01-15,1,CHO,L,112,117,43,93,.462,16,43,.372,10,17,.588,9,36,30,5,4,12,18,45,85,.529,12,39,.308,15,21,.714,11,45,27,6,6,18,16
2025,UTA,40,2025-01-17,0,NOP,L,123,136,43,86,.500,13,38,.342,24,30,.800,7,40,30,7,8,16,20,47,100,.470,22,50,.440,20,31,.645,21,56,34,9,8,13,24
2025,WAS,1,2024-10-24,1,BOS,L,102,122,41,95,.432,7,36,.194,13,18,.722,10,40,27,9,6,15,19,42,90,.467,17,45,.378,21,27,.778,12,49,21,7,3,14,19
2025,WAS,2,2024-10-26,1,CLE,L,116,135,37,96,.385,15,43,.349,27,32,.844,18,46,25,6,9,15,25,47,88,.534,18,39,.462,23,34,.676,11,48,27,13,10,17,27
2025,WAS,3,2024-10-28,0,ATL,W,121,119,41,91,.451,21,44,.477,18,22,.818,9,43,24,7,3,18,25,39,81,.481,15,40,.375,26,36,.722,6,39,32,12,7,16,22
2025,WAS,4,2024-10-30,1,ATL,W,133,120,47,89,.528,16,38,.421,23,25,.920,6,37,32,10,5,16,21,45,95,.474,12,39,.308,18,21,.857,12,41,28,10,3,17,19
2025,WAS,5,2024-11-02,1,MIA,L,98,118,38,91,.418,7,35,.200,15,21,.714,8,44,23,12,10,12,22,43,102,.422,15,37,.405,17,24,.708,21,65,19,6,3,14,18
2025,WAS,6,2024-11-04,1,GSW,L,112,125,42,96,.438,10,43,.233,18,21,.857,8,47,29,4,8,10,23,44,97,.454,12,37,.324,25,34,.735,16,56,29,5,7,7,20
